permit,permit type,permit subtype,parcel,date entered,date issues,cost,address,city,state,subvision,contact,permit type,permit subtype,ivr tracking,purpose,district,longitude,latitude,object id,zip code
T2022059245,Building Use & Occupancy,Master Permit Application,07107020000,2022-08-30,,50,314 E TRINITY LN,NASHVILLE,TN,PT LOT 6 CRUTCHERS TRINITY HGTS,"MYERS CO. CONSTRUCTION & DEVELOPMENT, LLC",CAUO,CAZ03A001,4199980,"Master permit to construct 4 attached townhomes. No construction this permit.  andrew dyk  You have been invited by Sykes, Ronya (Codes) to join a Bluebeam Studio Session:     T2022059245 Trinty Master  Session ID: 703-752-394  Session URL: https://epr.nashville.gov/hyperlink.html?link=epr.nashville.gov/sessions/703-752-394",5,-86.76389906,36.20544142,1176,37207
T2022059289,Building Residential - New,Single Family Residence,044090C23300CO,2022-08-31,,176958,2275 BAYPORT AVE,OLD HICKORY,TN,UNIT 233 ROWHOUSES AT ROBINSON ROAD 5TH AMEND,CRAIGHEAD DEVELOPMENT,CARN,CAA01R301,4200030,"TO CONSTRUCT 1,452SF SINGLE FAMILY RESIDENCE WITH 38SF PORCH. MASTER PERMIT 2021023483 NOT TO BE OVER ANY EASEMENTS. MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING PURSUANT # 2006-1263 METROCODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.*** SP ZONING",11,-86.66070516,36.26619944,1177,37138
T2022059290,Building Residential - New,Single Family Residence,044090C23200CO,2022-08-31,,143521,2277 BAYPORT AVE,OLD HICKORY,TN,UNIT 232 ROWHOUSES AT ROBINSON ROAD 5TH AMEND,CRAIGHEAD DEVELOPMENT,CARN,CAA01R301,4200033,"TO CONSTRUCT 1,177SF SINGLE FAMILY RESIDENCE WITH 34SF PORCH. MASTER PERMIT 2021023483 NOT TO BE OVER ANY EASEMENTS. MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING PURSUANT # 2006-1263 METROCODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.*** SP ZONING",11,-86.66075093,36.26623889,1178,37138
T2022059292,Building Residential - New,Single Family Residence,044090C23100CO,2022-08-31,,138012,2279 BAYPORT AVE,OLD HICKORY,TN,UNIT 231 ROWHOUSES AT ROBINSON ROAD 5TH AMEND,CRAIGHEAD DEVELOPMENT,CARN,CAA01R301,4200036,"TO CONSTRUCT 1,123SF SINGLE FAMILY RESIDENCE WITH 77SF PORCH. MASTER PERMIT 2021023483 NOT TO BE OVER ANY EASEMENTS. MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING PURSUANT # 2006-1263 METROCODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.*** SP ZONING",11,-86.66079383999998,36.26626864,1179,37138
T2022059298,Building Residential - New,Single Family Residence,044090C23000CO,2022-08-31,,139153,2281 BAYPORT AVE,OLD HICKORY,TN,UNIT 230 ROWHOUSES AT ROBINSON ROAD 5TH AMEND,CRAIGHEAD DEVELOPMENT,CARN,CAA01R301,4200044,"TO CONSTRUCT 1,134SF SINGLE FAMILY RESIDENCE WITH 69SF PORCH. MASTER PERMIT 2021023483 NOT TO BE OVER ANY EASEMENTS. MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING PURSUANT # 2006-1263 METROCODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.*** SP ZONING",11,-86.66083962,36.26630809,1180,37138
T2022059302,Building Residential - New,Single Family Residence,044090C22900CO,2022-08-31,,143521,2283 BAYPORT AVE,OLD HICKORY,TN,UNIT 229 ROWHOUSES AT ROBINSON ROAD 5TH AMEND,CRAIGHEAD DEVELOPMENT,CARN,CAA01R301,4200048,"TO CONSTRUCT 1,177SF SINGLE FAMILY RESIDENCE WITH 34SF PORCH. MASTER PERMIT 2021023483 NOT TO BE OVER ANY EASEMENTS. MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING PURSUANT # 2006-1263 METROCODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.*** SP ZONING",11,-86.66087720999998,36.26634077,1181,37138
T2022059304,Building Residential - New,Single Family Residence,044090C25700CO,2022-08-31,,177441,2286 BAYPORT AVE,OLD HICKORY,TN,UNIT 257 ROWHOUSES AT ROBINSON ROAD 5TH AMEND,CRAIGHEAD DEVELOPMENT,CARN,CAA01R301,4200051,"TO CONSTRUCT 1,452SF SINGLE FAMILY RESIDENCE WITH 58SF PORCH. MASTER PERMIT 2021023483 NOT TO BE OVER ANY EASEMENTS. MUST COMPLY WITH THE MASTER PERMIT AS APPROVED BY PLANNING PURSUANT # 2006-1263 METROCODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.*** SP ZONING",11,-86.66081273,36.26683147,1182,37138
T2022059415,Building Residential - Addition,Single Family Residence,15009017800,2022-08-31,,15456,300 CEDARCLIFF RD,ANTIOCH,TN,LOT 106 FOREST VIEW PARK PH 2 SEC 5,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARA,CAA01R301,4200299,To permit an already constructed 18  X 20' covered storage area adjacent to an existing single-family residence that is located within the required 5' side setback. Owner to remove enough of the covered storage area to meet the 5' required side setback.     THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.,29,-86.62268136999998,36.06950058,1183,37013
T2022059427,Building Residential - New,"Accessory Structure, Carport",15009017800,2022-08-31,,4830,300 CEDARCLIFF RD,ANTIOCH,TN,LOT 106 FOREST VIEW PARK PH 2 SEC 5,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARN,CAA14U004,4200314,To permit already constructed 100 sq ft covered storage area located rear of the principal structure per site plan. Located within 3' of the rear property line and 5' from side property line.     THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.,29,-86.62268136999998,36.06950058,1184,37013
T2022059505,Building Commercial - New,"General Office, Professional Services",06401006500,2022-08-31,,0,611 BRANDYWINE VILLAGE CT,OLD HICKORY,TN,LOT 4 SPENCER & ATCHLEY COMM. SUBD.,darrell hayes,CACN,CAD02B016,4200482,to construct new 5925SF 2 story office building on site. 20 required parking spaces.,11,-86.62397507,36.23342915,1185,37138
T2022059274,Building Residential - New,"Accessory Structure, Pools - Residential",11616017200,2022-08-30,,98800,4012 A2 WALLACE LN,NASHVILLE,TN,LOT 1 THE LANDS OF HENRY W COMPTON RESUB LOT 3,RIO POOLS AND SPAS,CARN,CAA14U017,4197004,"This is a 20'x40' inground pool with minimal, 300 sq ft, concrete surrounding decking.",34,-86.83464449999998,36.10682207,1186,37215
T2022059532,Building Residential - New,Single Family Residence,09206000200,2022-08-31,,268350,3007 ALBION ST,NASHVILLE,TN,PT LOT 23 BLK 16 GEORGE WADDEY,kareem gordon,CARN,CAA01R301,4200538,"to construct 2060SF single family residence with 385Sf garage. 5' min. side setback, 20' min. rear setback, front setback at 20' per table. not to be over any easements.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*  For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",21,-86.82301685,36.16357985,1187,37209
T2022059534,Building Commercial - New,"Accessory Structure, Shed / Storage Bldg",09400007400,2022-08-31,,0,1409 LEBANON PIKE,NASHVILLE,TN,S SIDE LEBANON PIKE W OF SPENCE LANE,jamison strain,CACN,CAA14U011,4200561,to place 2 shipping containers to be used as storage sheds on site for eagle nest. not to be over any easements.,15,-86.72711244,36.15230129,1188,37210
T2022059713,Building Residential - New,Detached Accessory Dwelling Unit,07115035400,2022-09-01,,122069,1212 B STOCKELL ST,NASHVILLE,TN,LOT 88 BENEDICT LAND CO SUB LINDSLEY TR,leaway construction,CARN,CAA11R301,4200833,"To construct a Detached Accessory Dwelling Unit (DADU) with 707 SF living space and 629 SF garage per plan.    REQUIRES PLANNING DEPT REVIEW AND APPROVAL - SP ZONING FOR DADUs.    THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.    FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",5,-86.76923899,36.19320805,1189,37207
T2022059717,Building Residential - Roofing / Siding,Single Family Residence,13004007500,2022-09-01,,51077,4304 SNEED RD,NASHVILLE,TN,PT LOT 25 BELLEMEADE ANNEX,jenkins restorations,CARK,CAA01R301,4200784,Wind caused substantial damage to roofing material making it necessary to replace shingles,34,-86.8359968,36.09928524,1190,37215
T2022059735,Building Residential - New,Single Family Residence,07114041500,2022-09-01,,552281,102 FERN AVE,NASHVILLE,TN,LOT 2 HAYNIES GROVE REV OF LOT 1,JADORE LUXURY HOMES LLC,CARN,CAA01R301,4200859,"To construct a 4,327 square feet, 5 bedroom, 4 bath, 2-1/2 bath, single family residence with the primary front living unit consisting of three levels at a total of 2,930 square feet. The footprint is to be 28’6”x 40’ in size which includes 20’x24’ of garage on main level. The connected 5th bedroom is to be 23’x28’ with a total square footage of 1,397 square feet including 93 square feet of Breezeway. The back unit will have a rooftop deck that will connect to the 2nd floor of the front unit. Rear setback will be 20ft and side setback will be 5ft. as per plat. Front setback will be 20 ft as per plat or contextual street setback, which ever is greater.    Excavation, Foundation, Framing, Plumbing, Electrical, HVAC, Cabinets, Trim, Hookups, ETC",2,-86.77821414,36.19584632,1191,37207
T2022059817,Building Residential - Addition,Single Family Residence,09111003100,2022-09-01,,40000,606 DELRAY DR,NASHVILLE,TN,LOT 47 SEC 1 MORROW MEADOWS,"CLAYTON, HAROLD R. DBA CLAYTON CONSTRUCTION SERVICECLA",CARA,CAA01R301,4201054,"to construct 180Sf deck addition and to include interior renovations. 5' min. side setback, 20' min. rear setback, not to be over any easements.  Pursuant # 2006-1263  Metrocode of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.; For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.",20,-86.85322025,36.15442885,1192,37209
T2022059919,Building Demolition Permit,Demolition Permit - Commercial,08612002900,2022-09-02,,15000,422 ROCKWOOD DR,HERMITAGE,TN,LOT 117 HERMITAGE WOODS SEC. 3-A,BluSky Restoration,CADM,CAZ01A002,4201219,Emergency Removal of  Damaged roofing material and replace in order to dry in building.,12,-86.59571015999998,36.17648118,1193,37076
T2022059936,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",07111023600,2022-09-02,,7728,1415 PENNOCK AVE,NASHVILLE,TN,LOTS 213 & 214 HIGHLAND LAND CO SUB,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARN,CAA14U011,4201238,"To construct an 10' X 16' detached accessory structure behind an existing single-family residence.     THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.    FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",5,-86.76517148,36.19796841,1194,37207
T2022059966,Building Residential - Roofing / Siding,"Multifamily, Condominium 3&4 Unit Bldg",08612002900,2022-09-02,,20750,422 ROCKWOOD DR,HERMITAGE,TN,LOT 117 HERMITAGE WOODS SEC. 3-A,BluSky Restoration,CARK,CAA03R298,4201264,Emergency Removal of  Damaged roofing material and siding in order to dry in building.    THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.,12,-86.59571015999998,36.17648118,1195,37076
T2022059970,Building Residential - Addition,"Accessory Structure, Decks",02515003600,2022-09-02,,36,792 OLD DICKERSON PIKE,GOODLETTSVILLE,TN,LOT 2 ROLLING MEADOWS,MIDTOWN TN INC,CARA,CAA14U015,4201275,Midtown will be installing a 6x6 deck off the rear of the home. ,10,-86.72438664,36.30384891,1196,37072
T2022059985,Building Residential - New,Single Family Residence,071143B00900CO,2022-09-02,,302889,1418 NAPOLEON ST,NASHVILLE,TN,UNIT 9 RAVEN AMENDED,"AVENUE CONSTRUCTION, LLC",CARN,CAA01R301,4201324,"Construct 2021 SF single family residence with 469 SF attached garage and 729 SF decks and porches.     See Master Permit 2022021858.     Not to be over any easements.     Pursuant # 2006-1263 Metro Code of Laws, I (holder of permit) hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.     For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.     For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.",2,-86.77865058,36.19318064,1197,37207
T2022060022,Building Residential - New,Mobile Home Dwelling,01100013600,2022-09-02,,116390,2725 GREER RD,GOODLETTSVILLE,TN,N/S GREER RD N OF IVEY POINT RD,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARN,CAA04R301,4201402,"To place a 16' X 60' single-wide manufactured home on pier block footings and skirting. Establishing a 2nd dwelling unit on the property pursuant to Section 17.16.030.D.2.    THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.    FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",10,-86.79026779999998,36.34980038,1198,37072
T2022060103,Building Residential - Rehab,"Accessory Structure, Decks",08600028000,2022-09-02,,9525,1100 CRYSTAL SPRING LN,HERMITAGE,TN,STONE CREEK APTS  PHASE 1,Chris Lewis,CARR,CAA14U015,4201606,"Demo and rebuild breezeway staircase landing on second story, building 20.    THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.",14,-86.61126697999998,36.17386327,1199,37076
T2022060198,Building Commercial - Rehab,"Radio/Tv Studio, Tv&Radio Statn(No Aud)",10700005000,2022-09-06,,8599,1 TERMINAL DR,NASHVILLE,TN,PT OF LOT 3 METROPOLITAN NASHVILLE AIRPORT AUTHORITY,Rodney Chism,CACR,CAG06B017,4201759,"Radio system at BNA Airport Same use, location of radio system simply moved, relocation of C Tower Rooftop radio system/antenna/conduit/coax cable pull to new location.",13,-86.66916792,36.1317332,1200,37214
T2021072801,Building Use & Occupancy,"Accessory Structure, Pools - Residential",10416028800,2021-11-11,,75000,2400 B OAKLAND AVE,NASHVILLE,TN,PT LOT 170 BELMONT LAND CO,LAYTON HOMES 2 LLC,CAUO,CAA14U017,4059037,"To install inground swimming pool at side and rear of existing single family residence. 10’ MINIMUM STREET/SIDE SETBACK… …3’ MINIMUM REAR SETBACK… …NOT TO INSTALL OVER OR OBSTRUCT ANY EASEMENTS… …AS OF JANUARY 1, 2011, THE TENNESSEE GENERAL ASSEMBLY REQUIRES THAT ALL RESIDENTIAL POOLS/ HOT TUBS GREATER THAN 36  IN DEPTH SHALL INSTALL A POOL ALARM BEFORE USING OR MAKING AVAILABLE FOR USE A SWIMMING POOL… …MUST COMPLY WITH APPLICABLE FENCING CODES/REQUIREMENTS… …",18,-86.79502501999998,36.12708805,1201,37212
T2021073077,Building Use & Occupancy,Master Permit Application,08305035600,2021-11-12,,66224,1417 B FRANKLIN AVE,NASHVILLE,TN,LOT 50 WEAKLEY HOME PLACE,Njh Pool Construction,CAUO,CAZ03A001,4059413,To install 10 x 16 inground fiberglass pool ,6,-86.74261525999998,36.18505485,1202,37206
T2021073122,Building Residential - Rehab,Single Family Residence,05213003500,2021-11-12,,49919,2517 MIAMI AVE,NASHVILLE,TN,LOT 1 C. L. BLACKWELL RESUB,"PUNCHLIST NASHVILLE, LLC",CARR,CAA01R301,4059473,"Remodel interior portion to include: sand/stain floors, paint, paint cabinetry, updating tile and light fixtures  no change to footprint, to remain single family.",15,-86.71171208,36.2368555,1203,37214
T2021073146,Building Residential - New,Single Family Residence,09205032700,2021-11-13,,276592,3124 TORBETT ST,NASHVILLE,TN,PT LOT 6 WILLS SUB BARROW,"E3 CONSTRUCTION SERVICES, LLC",CARN,CAA01R301,4059507,"Construct 2074 SF single family residence with 440 SF attached garage and 161 SF porches. 3' side setback, 20' min. rear setback, front setback at 20' per table. Not to be over any easements. max height 3 stories and 45'.Pursuant # 2006-1263 Metro Code of Laws, I (holder of permit) hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.",21,-86.82332395999998,36.15843798,1204,37209
T2021072596,Building Residential - New,"Accessory Structure, Garage",072132C00200CO,2021-11-10,,21298,1022 B2 CAHAL AVE,NASHVILLE,TN,UNIT B 1022 CAHAL AVENUE TOWNHOMES,Travis Gates,CARN,CAA14U009,4058818,"18 x 24 Pro Ranch Garage. Non-livable structure. Building used as garage and storage.  NOT TO BE USED FOR LIVING OR COMMERCIAL PURPOSES.  10' min rear s/b; 3' min side s/b.  UZO.  MAX ALLOWED KNEE WALL HEIGHT IS 16'.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",5,-86.74425434,36.19652262,1205,37206
T2021073370,Building Residential - Addition,Single Family Residence,03413023800,2021-11-15,,34917,246 EDGEMEADE DR,MADISON,TN,LOT 19 RESUB EDGEMEADE FARM,JAYROC O.C. LLC,CARA,CAA01R301,4059784,"to construct 12'x24' addition off rear of existing single family residence. Adding a master bedroom suite, changing electrical, and opening floor plan. 5' minimum side setback, 20' minimum rear setback. No second kitchen, to remain single family residence. Not to build over or obstruct easements.",9,-86.70278714,36.2823137,1206,37115
T2021073377,Building Residential - Addition,Single Family Residence,05309002300,2021-11-15,,0,1246 APACHE LN,MADISON,TN,LOT 4 SEQUOIA VALLEY BOULEVARD,JAYROC O.C. LLC,CARA,CAA01R301,4059792,Rejected: require site plan showing addition location to residence with dimensions and setbacks labeled. Provide construction cost.  EMAIL DIRECTLY TO: THOMAS.CORCORAN@NASHVILLE.GOV. PERMIT APPLICATION NUMBER MUST BE IN SUBJECT LINE TO PROCESS.    Adding a master bedroom suite and opening up the original  floor plan,9,-86.67114076999998,36.24422928,1207,37115
T2021073386,Building Residential - New,"Multifamily, Townhome",07013005500,2021-11-22,,227307,1917 S HAMILTON RD,NASHVILLE,TN,LOT 4 BLK 1 SHEEGOG SUB,"DON HARDIN GROUP, LLC",CARN,CAA03R301,4059797,"REJECTED: incorrect permit application.  Resubmit Master permit application, must have site plan attached.    This application is for 6 Townhouse units on (1) site.",1,-86.83274471,36.19241192,1208,37218
