Permit__,Permit_Type_Description,Permit_Subtype_Description,Parcel,Date_Entered,Date_Issued,Const_Cost,Address,City,State,Subdivision_Lot,Contact,Per_Ty,Per_SubTy,IVR_Trk_,Purpose,Council_Dist,Lon,Lat,ObjectId,ZIP
T2022019099,Building Residential - Rehab,Single Family Residence,104140H01700CO,1647925200000,,500000,337 WHITWORTH WAY,NASHVILLE,TN,LOT 17 WHITWORTH PHASE 3 SECTION 1,WHITE PINES BUILDING GROUP LLC,CARR,CAA01R301,4122130,"TO CONDUCT INTERIOR RENOVATIONS TO EXISTING SINGLE-FAMILY RESIDENCE… …NO CHANGE TO BUILDING/ROOF LINES OR FOOTPRINT… …NO SECOND KITCHEN, TO REMAIN SINGLE FAMILY RESIDENCE… …MUST COMPLY WITH PUDR... ...",24,-86.81862488999998,36.12713112,217,37205
T2022019162,Building Use & Occupancy,Single Family Residence,06012006000,1647925200000,,1,135 HART LN,NASHVILLE,TN,N. SIDE HART LANE E. OF DICKERSON PIKE,LEGACY SOUTH,CAUO,CAA01R301,4122352,MASTER PERMIT NO CONSTRUCTION THIS PERMIT  New Construction. Twenty Six new single family homes with three bedrooms in each.   POC LEGACY SOUTH,5,-86.75741791,36.22135664,218,37207
T2022019290,Building Commercial - Tenant Finish Out,"General Office, Professional Services",09305014900,1647925200000,,0,312 ROSA L PARKS AVE,NASHVILLE,TN,"LOTS 134, 146 & 147 ORIGINAL TOWN OF NASHVILLE",JORDAN ETTERS,CACT,CAD02B016,4122991,"APPROX. 2,619 SF OF INTERIOR TENANT RENOVATION AND BUILD OUT ON THE 13TH  FLOOR OF AN EXISTING SHELL BUILDING FOR USE AS OFFICE SPACE.  POC JORDAN ETTERS",19,-86.78488351,36.16391577,219,37203
T2022019309,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",172140B11600CO,1647925200000,,4927,1456 WEXFORD DOWNS LN,NASHVILLE,TN,"LOT 116 WINFIELD PARK PHASE 2 SEC 1 REV 1 LOTS 94-108, 110-121, 126-128 & 132-133 REV",Rock Woodworking & Design,CARN,CAA14U011,4123065,To construct a 12x17 open air Pergola that will be attached to the main structure. Rear setback will be 20ft and side setbacks will 5ft.,4,-86.73426071999998,36.02067008,220,37211
T2022019430,Building Residential - Addition,Single Family Residence,03316001900,1648011600000,,30188,1021 N GRAYCROFT AVE,MADISON,TN,LOT 152 SEC 2 PRIMROSE ACRES,matthew stager,CARA,CAA01R301,4123374,"to construct 625Sf garage addition to the side of existing single family residence. 10' min. side setback, 30' min. rear setback 40' min side street setback.  not to exceed existing front façade. not to be over any easements.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",10,-86.72168928,36.28177136,221,37115
T2022019435,Building Commercial - New,"Automobile Convenience, Markets",10713013100,1648011600000,,0,1108 MURFREESBORO PIKE,NASHVILLE,TN,LOT 1 GOLD CYPRESS LIVING TRUST PROPERTY,daisy schultz,CACN,CAF24M003,4123396,"to construct new 5464Sf 7-11 convenience store with 7 pump islands. 43 require parking spaces.  not to be over any easements.    ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",13,-86.70975808999998,36.12633494,222,37217
T2022019535,Building Demolition Permit,Demo Permit - Residential Accessory,10509023500,1648011600000,,2000,1001 CALDWELL AVE,NASHVILLE,TN,P/O LOT 10 G. R. HULINE SUB. 37 & 38 WAVERLY PLACE,PALMETTO CONSTRUCTION LLC,CADM,CAZ01A003,4123806,TO DEMOLISH EXISTING DETACHED GARAGE.  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT TO SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION.,18,-86.78585189,36.13235033,223,37204
T2022019560,Building Commercial - New,"College / University, Educational > 12Th",16406000300,1648011600000,,0,3514 MURFREESBORO PIKE,ANTIOCH,TN,LOT 3 KOZY PROPERTYS RESUB LOT 1,HAMILTON BROOKS,CACN,CAC02B009,4123877,"Ground up new build of a 10,114 SF early education building.  Includes concrete, paving, structural work, exterior finishes, interior finishes, and MEP.  The grading contract is being held by another site contractor.   POC HAMILTON BROOKS  not to be over any easements.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",8,-86.61712418,36.05374422,224,37013
T2022019686,Building Residential - New,Single Family Residence,182020C01600CO,1648098000000,,195065,4141 CHAMBORD DR,ANTIOCH,TN,LOT 16 EVERGREEN HILLS PH 1,"NVR, INC. T/A RYAN HOMES",CARN,CAA01R301,4124217,"TO CONSTRUCT A 1,440 SQ FT SINGLE FAMILY HOUSE WITH A 400 SQ FT GARAGE & A 24 SQ FT FRONT PORCH.  SP Zoning.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",33,-86.65169333,36.01796901,225,37013
T2022019755,Building Commercial - Rehab,"Retail, Department / Retail Stores",14908005000,1648098000000,,0,486 C BELL RD,NASHVILLE,TN,LOT 1 J E MOSS FUTURE DEVELOPMENT RESUB LOT 1 SEC 1,Abraham ayanlowo,CACR,CAF20M001,4124478,"to conduct interior renovations to existing market to make space for new take our restaurant within the existing market.. no change to footprint.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",29,-86.63563522,36.07204561,226,37217
T2022019882,Building Residential - Rehab,Single Family Residence,14510007300,1648098000000,,0,1249 MARY HELEN DR,NASHVILLE,TN,LOT 7 BRIGID ANN HEIGHTS SEC 3 REVISED,"DEMAY, MICHAEL COMPANY",CARR,CAA01R301,4124825,"MAIN FLOOR - - Demo out some kitchen cabinets - Demo Partial non load bearing wall - Sink and appliances stay in same locations - Frame existing opening (pass through) to be an arch - Install new cabinets - Replace floors with new engineered flooring - Paint entire house - Renovate Hall bath with new tile, new toilet, new vanity, convert tub into shower, plumbing does not move location, switch out light fixtures, add a can light - Move electrical wires and add some can lights - Convert existing laundry into pantry / cap plumbing / add can lights - Change out all plugs and switches to white UPSTAIRS - - Gut master bath, install new tile, move entry door, new plumbing fixtures (same locations), can lights, new electrical fixtures - Move HVAC to Hall closet - Install Transom window in master bedroom - New engineered flooring - New laundry room off hallway - Paint - New stair railings - Change out all plugs and switches to white",34,-86.81663725,36.06893123,227,37220
T2022019886,Building Residential - New,Single Family Residence,072114O00200CO,1648098000000,,290912,2307 A BURNS ST,NASHVILLE,TN,UNIT A BURNS HOMES REVISED,BUILD TRUST HOMES LLC,CARN,CAA01R301,4124827,"To construct a new HPR single-family residence with 2270 sq. ft. of living space, 325 sq. ft. garage.  unit A.  units detached.  max allowed height is 25.6'.  min required distance between structures is 6' min with no bump outs.  38.825' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d /f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. must comply fully with metro council bills 2014-725 and 2014-770.  SIDEWALK IS PRESENT ON CORNER PARCEL OF LITTON AND BURNS.  SIDEWALKS ARE REQUIRED.",7,-86.72870313,36.20015051,228,37216
T2022019887,Building Residential - New,Single Family Residence,072114O00100CO,1648098000000,,290912,2307 B BURNS ST,NASHVILLE,TN,UNIT B BURNS HOMES REVISED,BUILD TRUST HOMES LLC,CARN,CAA01R301,4124855,"To construct a new HPR single-family residence with 2270 sq. ft. of living space, 325 sq. ft. garage.  units detached.  max allowed height is 25.6'.  min required distance between structures is 6' min with no bump outs.  38.825' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.  SIDEWALKS ARE PRESENT ON CORNER PARCEL OF LITTON AVENUE AND BURNS.  SIDEWALKS ARE REQUIRED FOR THIS PERMIT.",7,-86.72870376999998,36.20022109,229,37216
T2022019726,Building Demolition Permit,Demolition Permit - Residential,04308001400,1648098000000,,1500,108 SHELBY ST MOBILE HOM,OLD HICKORY,TN,S SIDE SHELBY ST W OF SCENIC VIEW RD,jon runion,CADM,CAZ01A001,4124401,"to demolish existing mobile home on site. not to be buried or burned on site.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",11,-86.67213076,36.27340356,230,37138
T2022020023,Building Residential - New,Single Family Residence,075050A00100CO,1648184400000,,288756,4612 A OLD HICKORY BLVD,OLD HICKORY,TN,UNIT 4612A 4612 OLD HICKORY BLVD RESIDENCES,UNIQUE MANAGEMENT DEVELOPMENT & CONSTRUCTION LLC,CARN,CAA01R301,4125216,"to construct 2355SF single family residence with 134Sf porches. 5' min. left side setback, 10' right side setback, 20' min. rear setback, front setback at 56.6' per avg. unit 1 of 2. lot coverage is 722SF of max 5088SF lot coverage. not to be over any easements. Max height 3 stories or ’.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*  For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",11,-86.62161645,36.20443047,231,37138
T2022019894,Building Use & Occupancy,"Multifamily, Townhome",07101007700,1648098000000,,1,0 MONTICELLO DR,NASHVILLE,TN,P/O LOT 6 SCRUGGS SUB OF TAYLOR LAND,"E3 CONSTRUCTION SERVICES, LLC",CAUO,CAA03R301,4124899,master permit only for 70 unit townhome development.,2,-86.78674689999998,36.21146517,232,37207
T2022020024,Building Residential - New,Single Family Residence,075050A00200CO,1648184400000,,288756,4612 B OLD HICKORY BLVD,OLD HICKORY,TN,UNIT 4612B 4612 OLD HICKORY BLVD RESIDENCES,UNIQUE MANAGEMENT DEVELOPMENT & CONSTRUCTION LLC,CARN,CAA01R301,4125217,"to construct 2355SF single family residence with 134Sf porches. 5' min. left side setback, 10' right side setback, 20' min. rear setback, front setback at 56.6' per avg. unit 1 of 2. lot coverage is 722SF of max 5088SF lot coverage. not to be over any easements. Max height 3 stories or ’.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.*  For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",11,-86.62159289,36.20433402,233,37138
T2022020333,Building Residential - Rehab,Single Family Residence,07116022300,1648184400000,,101008,1213 N 6TH ST,NASHVILLE,TN,LOT 174 PT 175 OAKWOOD PARK,"TRHI,LLC",CARR,CAA01R301,4126248,"Demo, Framing, drywall, trim, siding, HVAC, plumbing, electrical,(18x23)room addition, cabinets and painting  ",5,-86.76030747,36.19329945,234,37207
T2022019684,Building Commercial - Addition,"Liquor Sales, Merchantile",06008002000,1648098000000,,377040,3041 A1 DICKERSON PIKE,NASHVILLE,TN,PART OF LOT 6 LINDSEY SUB,aziz dhanani,CACA,CAF23M001,4124205,"3000 sq.ft. addition to existing building for liquor store  POC AZIZ DHANANI,-615-739-3582 -EXPIRED PERMIT 2019031718",5,-86.75942157999998,36.2284207,235,37207
T2022020341,Building Residential - Rehab,Single Family Residence,07116022300,1648270800000,,0,1213 N 6TH ST,NASHVILLE,TN,LOT 174 PT 175 OAKWOOD PARK,"TRHI,LLC",CARR,CAA01R301,4126289,"Demo, Framing, Drywall, Trim, Siding, HVAC, Plumbing, Electrical,(15X28)room addition, Deck 10x28, second floor 1400 sqft  addition, cabinets, and painting",5,-86.76030747,36.19329945,236,37207
T2022020345,Building Residential - Addition,Single Family Residence,08211006500,1648270800000,,322415,245 FOSTER ST,NASHVILLE,TN,LOT 19 & PT LOTS 20 & 21 BRYAN ADDITION,J SNOW CONSTRUCTION CORPORATION,CARA,CAA01R301,4126305,"To construct an attached garage, and a living space addition to the rear of the existing residence. Project to include electrical, plumbing, and mechanical work. Total additional square footage of living space is 1515 sq ft, and then garage is to be 900 sq ft.",5,-86.76836380999998,36.17914318,237,37207
T2022020365,Building Residential - New,Single Family Residence,14100005400,1648357200000,,0,8291 COLEY DAVIS RD,NASHVILLE,TN,E. OF MCCRORY LN. S. OF INTERSTATE 40,Richard Ice Construction,CARN,CAA01R301,4126395,"Construct a 36'x28' two story residence, consisting of garage with bath and outdoor shower on first floor. 1008 s.f. of heated living space on 2nd.floor.  not to be over any easements.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",22,-86.98523996999998,36.06227727,238,37221
T2022020428,Building Residential - Addition,Single Family Residence,10215008700,1648443600000,,65576,717 STARLIT RD,NASHVILLE,TN,LOT 267 SEC 7 BROOK MEADE,E. L. Construction,CARA,CAA01R301,4126637,"Attached garage addition with power doors, few windows, and can lights, simple pedestrian door entry. Rejected: insufficient street setback 82.8'required per 17.16.030, 74.8' proposed; insufficient side setback 15' required per 17.12.020A, 10'3  plus/minus proposed.",23,-86.88678854,36.12776463,239,37205
T2022020466,Building Residential - Roofing / Siding,Single Family Residence,11712004600,1648443600000,,8000,1417 CLIFTON LN,NASHVILLE,TN,LOT 25 HAWTHORNE,ROOFSMITH RESTORATION NASHVILLE LLC,CARK,CAA01R301,4126755,remove and replace shingles on roof ,25,-86.79745554,36.11381706,240,37215
T2022020509,Building Commercial - Foundation,"Multifamily, Apt / Twnhome > 5 Unit Bldg",10502025800,1648443600000,,0,900 8TH AVE S,NASHVILLE,TN,PT LOT 1 BASS SECOND ADDN,JON BARNETT,CACF,CAA03R399,4126920,"oundation and Underslab work for a 411,162 SF, 7 floor, mixed use building with retail, parking and residential units.   POC JOHN BARNETT",17,-86.77881857,36.14724719,241,37203
T2022020530,Building Commercial - Rehab,"General Office, Professional Services",10502025800,1648443600000,,0,900 8TH AVE S,NASHVILLE,TN,PT LOT 1 BASS SECOND ADDN,JOHN BARNETT,CACR,CAD02B016,4127030,Wall permit for a single linear CMU wall that will serve as a sound and physical barrier   between our lot and the adjacent Easy Eye Sound Property.   POC JOHN BARNETT,17,-86.77881857,36.14724719,242,37203
T2022020608,Building Residential - Addition,Duplex,09213019100,1648443600000,,500000,3408 ELKINS AVE,NASHVILLE,TN,PT LOTS 6 7 BLK 16 CHARLOTTE PK 2ND ADDN,"MCKINNIS, SEAN",CARA,CAA02R302,4127460,To construct addition to the rear and sides of the existing nonconforming duplex.,24,-86.82554768,36.15083621,243,37209
T2022020659,Building Residential - New,Single Family Residence,071160K00100CO,1648443600000,,468938,505 A DOUGLAS AVE,NASHVILLE,TN,UNIT A 505 DOUGLAS AVENUE AMENDED,"Legacy South Builders, LLC",CARN,CAA01R301,4127686,"To construct single family residence with 3,585 sq. ft. of living area, 376 sq. ft. of porch/deck area, and 522 sq. ft. of garage area. Minimum: 79.4’ street/front contextual setback; 5’ side setback(s); and, 20’ rear setback. Minimum 6’ between buildings. Shall not exceed three stories. Height cannot exceed a ratio of 1.0 horizontal to 1.5 vertical. Must conform to all easements on property. Total building coverage on parcel not to exceed 50%. Sidewalks are required. Individual single and two-family lot tree density standards apply pursuant to M.C.L. 17.24.100, including at least one two-inch caliper tree for each thirty feet of lot frontage (or portion thereof), excluding alley frontage. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage. No construction and/or demolition waste shall be stored on the property all such waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.",5,-86.76101282,36.19432921,244,37207
T2022020661,Building Residential - New,Single Family Residence,071160K00200CO,1648443600000,,468938,505 B DOUGLAS AVE,NASHVILLE,TN,UNIT B 505 DOUGLAS AVENUE AMENDED,"Legacy South Builders, LLC",CARN,CAA01R301,4127689,"To construct single family residence with 3,585 sq. ft. of living area, 376 sq. ft. of porch/deck area, and 522 sq. ft. of garage area. Minimum: 79.4’ street/front contextual setback; 5’ side setback(s); and, 20’ rear setback. Minimum 6’ between buildings. Shall not exceed three stories. Height cannot exceed a ratio of 1.0 horizontal to 1.5 vertical. Must conform to all easements on property. Total building coverage on parcel not to exceed 50%. Sidewalks are required. Individual single and two-family lot tree density standards apply pursuant to M.C.L. 17.24.100, including at least one two-inch caliper tree for each thirty feet of lot frontage (or portion thereof), excluding alley frontage. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage. No construction and/or demolition waste shall be stored on the property all such waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.",5,-86.76093319,36.19433162,245,37207
T2022020774,Building Residential - Addition,Single Family Residence,03316006200,1648530000000,,98689,1233 N GRAYCROFT AVE,MADISON,TN,LOT 33 PRIMROSE MEADOWS SEC. 1,"SHAHBEN, MOSLEH NAGI",CARA,CAA01R301,4128099,"REQUIRE SITE PLAN AS PREPARED/STAMPED BY LICENSED LAND SURVEYOR.    TO CONSTRUCT 22'x37' ADDITION OFF REAR OF EXISTING SINGLE FAMILY (SEE PLAN)… …5’ MINIMUM SIDE SETBACK… …20’ MINIMUM REAR SETBACK… …NO SECOND KITCHEN, TO REMAIN SINGLE FAMILY RESIDENCE… …NOT TO BUILD OVER OR OBSTRUCT EASEMENTS… …    POC: MOSLEH SHAHBEN 615-968-6760",10,-86.7136127,36.2851462,246,37115
T2022020963,Building Demolition Permit,Demolition Permit - Commercial,12800012600,1648530000000,,25000,1000 AMBERWOOD CIR,NASHVILLE,TN,LOT 1 AMBERWOOD APARTMENTS,THS NATIONAL LLC,CADM,CAZ01A002,4128821,To demo bldg. 3200 due to fire.  POC Melissa Campbell 866-794-8210,23,-86.91835937,36.08362622,247,37221
T2022021001,Building Demolition Permit,Demolition Permit - Residential,117121C90000CO,1648530000000,,6500,1503 C WOODMONT BLVD,NASHVILLE,TN,COMMON AREA HOMES AT 1503 WOODMONT BLVD,"ROBINSON CONSTRUCTION GROUP, LLC",CADM,CAZ01A001,4128910,"TO DEMOLISH EXISTING RESIDENCE.  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT TO SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION.   ***PURSUANT TO ORDINANCE NO. 2006-1263 OF THE METROPOLITAN CODE OF LAWS, I (THE HOLDER ON THIS PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION AND DEMOLITION WASTE GENERATED BY ANY AND ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL.   FURTHER, I CERTIFY THAT NO CONSTRUCTION AND DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF THE METROPOLITAN CODE***",25,-86.79744807,36.11266425,248,37215
T2022021005,Building Sign Permit,Sign - Ground /  Wall Signs,092124A00200CO,1648530000000,,1040,1613 HAYES ST,NASHVILLE,TN,UNIT CREATIVE OFFICE RETAIL THE RESIDENCES AT BROADWEST AMENDED,"PIP OF TENNESSEE, INC. DBA: DYNAMARK",CASN,CAZ02A001,4128915,"To erect 1 illuminated blade sign for PEP Athletics Fitness & Nutrition. Size of blade sign to be 9sqft.   Plans Review stamped plans attached in Cityworks.   POC: Nick Tinnirella, nick@dggink.com, 615-921-9403",19,-86.79465206,36.15489347,249,37203
T2022021234,Building Residential - New,Single Family Residence,08103021200,1648616400000,,293885,2135 12TH AVE N,NASHVILLE,TN,LOT 3 J T LINDSLEY RESUB OF O B V,Bonham Builders LLC,CARN,CAA01R301,4129342,"To construct a single family house at 2135A 12 Ave north . Heated square footage is 2275 sf uh-heated sqft is 187 sqft, porches 150 sf and carport 37 sf . setbacks 41.13' front setbacks 5 foot side setbacks 6 foot between houses rear setback 20'. must comply with tree ordinance planting a 2 in tree for every 30 feet of road frontage. A sign in both English and Spanish must be present for every 50 lf of road frontage a double sided sign 24 x36  sixe must be posted reqwuired by ordinance No, 2017-835 no more than 3 signs are required",2,-86.80903043,36.18762549,250,37208
T2022021103,Building Commercial - New,"Warehouse, Storage S-1",18300005200,1648616400000,,44195,1601 B J P HENNESSY DR,LAVERGNE,TN,LOT 1 INTERCHANGE CITY IND PRK SEC 6,Mark fessler,CACN,CAH10S001,4129106,"to construct 1830Sf accessory building on site for fessler home improvement & construction. not to be over any easements.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***  *** Plans Review stamped plans attached in Cityworks***",32,-86.6031863,36.01352353,251,37086
T2022021262,Building Residential - New,Single Family Residence,08103021200,1648616400000,,293885,2135 12TH AVE N,NASHVILLE,TN,LOT 3 J T LINDSLEY RESUB OF O B V,Bonham Builders LLC,CARN,CAA01R301,4129514,"o construct a single family house at 2135B 12 Ave north . Heated square footage is 2275 sf uh-heated sqft is 187 sqft, porches 150 sf and carport 37 sf . setbacks 41.13' front setbacks 5 foot side setbacks 6 foot between houses rear setback 20'. must comply with tree ordinance planting a 2 in tree for every 30 feet of road frontage. A sign in both English and Spanish must be present for every 50 lf of road frontage a double sided sign 24 x36  sixe must be posted required by ordinance No, 2017-835 no more than 3 signs are required",2,-86.80903043,36.18762549,252,37208
T2022021295,Building Residential - New,Single Family Residence,131071N00200CO,1648616400000,,3400,4404 A HUNT PL,NASHVILLE,TN,UNIT B 4404 HUNT PLACE HOMES,NATIONAL RESOURCES CO LLC,CARN,CAA01R301,4129630,none..,25,-86.80703937,36.09608794,253,37215
T2022021360,Building Residential - Rehab,"Multifamily, Condominium > 5 Unit Bldg",092160D00100CO,1648616400000,,24000,1803 BROADWAY,NASHVILLE,TN,COMMON AREA BRISTOL ON BROADWAY 2ND AMENDMENT,MID TENN GROUP LLC,CARR,CAA03R299,4129818,"Three balconies shall have the non-structural architectural framing removed and repaired, exterior stucco removed and repaired, and waterproofing components replaced.  The three unit balcony numbers are 522, 606, and 622. (522 & 622 are approx. 13' x 2' and 606 is approx. 8' x 4'6 ) There is no mechanical, electrical, plumbing, or site work as part of this project.   The plans have been generated and reviewed by a licensed engineer in accordance with the 2018 international existing building code chapter 4 repairs.",19,-86.79513891,36.15197125,254,37203
T2022021412,Building Sign Permit,Sign - Ground /  Wall Signs,09313012400,1648616400000,,3000,609 OVERTON ST,NASHVILLE,TN,PT LOTS 6 7 & 8 LUNATIC ASYLUM,TRI STAR TRANSPORT LLC,CASN,CAZ02A001,4129980,"To erect 1 illuminated blade sign for Rumble Boxing. Size of blade sign to be 3.03sqft with an 8ft clearance to grade.   UL#: H284937660  Plans Review stamped plans attached in Cityworks.   TO COMPLY WITH 2018 IBC AND 2017 NEC.  POC: Betsy Shackelford, bshackelford@tristartransport.com, 615-687-4165",19,-86.78251005,36.15129747,255,37203
T2022021427,Building Sign Permit,Sign - Ground /  Wall Signs,10513009500,1648616400000,,2500,2301 12TH AVE S,NASHVILLE,TN,PT LOT 9 BELMONT LAND CO,HUFFINE FIRST SERVICE,CASN,CAZ02A001,4130014,"To erect 1 illuminated wall sign, 1 illuminated blade sign, and window vinyl for Gorjana. Wall sign to be 12.09sqft and not to exceed 15% of the façade. Blade sign to be 3.14sqft.   UL#'s: P09778957, T35664792-T 35664800  Plans Review stamped plans attached in Cityworks.     TO COMPLY WITH 2018 IBC AND 2017 NEC.  POC: Crystal Ross, huffinefirstservice@yahoo.com, 615-624-2976",18,-86.78933395999998,36.12751341,256,37204
